Format Version,1.21,Take Name,black4Take 2024-04-10 04.05.45 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 04.05.45.715 PM,Total Frames in Take,3092,Total Exported Frames,3092,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
135,1.125000,-172.535095,7.140268,175.430771,-1.512503,0.454192,1.298378,0.000432
136,1.133333,-172.530624,7.174181,175.313293,-1.512464,0.454134,1.298364,0.000407
137,1.141667,-172.529617,7.143755,175.432571,-1.512496,0.454197,1.298378,0.000421
138,1.150000,-172.527634,7.158174,175.327499,-1.512475,0.454129,1.298349,0.000422
139,1.158333,-172.526611,7.159991,175.311523,-1.512480,0.454137,1.298341,0.000402
140,1.166667,-172.529373,7.160853,175.314011,-1.512477,0.454161,1.298353,0.000402
141,1.175000,-172.517303,7.162570,175.318558,-1.512504,0.454166,1.298351,0.000401
142,1.183333,-172.515747,7.165896,175.310883,-1.512485,0.454156,1.298358,0.000398
143,1.191667,-172.510162,7.172866,175.287979,-1.512501,0.454149,1.298360,0.000402
144,1.200000,-172.521057,7.167717,175.315536,-1.512498,0.454152,1.298355,0.000408
145,1.208333,-172.501450,7.151931,175.329529,-1.512498,0.454125,1.298353,0.000420
146,1.216667,-172.521713,7.154080,175.324356,-1.512493,0.454133,1.298352,0.000413
