Format Version,1.21,Take Name,1blackTake 2024-04-10 03.24.49 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-10 03.24.49.530 PM,Total Frames in Take,2166,Total Exported Frames,2166,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1
,,"B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2","B3F52A8FF72E11EE9A1319B31274C6B2"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,X,Y,Z,
154,1.283333,-8.220801,-6.015388,-5.591679,1.296076,0.460044,-1.216690,0.000240
155,1.291667,-8.221612,-6.015935,-5.594310,1.296066,0.460052,-1.216691,0.000248
156,1.300000,-8.215343,-6.017821,-5.606100,1.296076,0.460050,-1.216686,0.000237
157,1.308333,-8.217120,-6.021670,-5.603460,1.296069,0.460053,-1.216679,0.000234
158,1.316667,-8.228852,-6.013730,-5.599612,1.296065,0.460058,-1.216690,0.000244
159,1.325000,-8.223236,-6.017723,-5.607637,1.296065,0.460061,-1.216684,0.000234
160,1.333333,-8.223704,-6.023698,-5.596128,1.296063,0.460069,-1.216697,0.000230
161,1.341667,-8.231004,-6.020733,-5.600444,1.296059,0.460058,-1.216692,0.000242
162,1.350000,-8.223408,-6.019004,-5.607059,1.296067,0.460042,-1.216690,0.000247
163,1.358333,-8.216722,-6.018582,-5.592076,1.296069,0.460050,-1.216694,0.000243
164,1.366667,-8.227565,-6.030201,-5.597207,1.296070,0.460038,-1.216683,0.000234
165,1.375000,-8.213325,-6.011411,-5.601154,1.296072,0.460052,-1.216698,0.000238
166,1.383333,-8.215552,-6.012815,-5.600441,1.296073,0.460058,-1.216701,0.000231
167,1.391667,-8.221978,-6.020463,-5.599261,1.296060,0.460063,-1.216694,0.000241
168,1.400000,-8.229329,-6.009367,-5.594442,1.296060,0.460052,-1.216702,0.000233
169,1.408333,-8.232080,-6.018641,-5.601658,1.296066,0.460046,-1.216705,0.000239
170,1.416667,-8.217244,-6.016523,-5.595847,1.296069,0.460049,-1.216700,0.000246
171,1.425000,-8.221396,-6.021888,-5.607772,1.296074,0.460037,-1.216698,0.000241
172,1.433333,-8.221628,-6.015078,-5.602033,1.296064,0.460028,-1.216694,0.000242
173,1.441667,-8.219103,-6.020148,-5.597816,1.296067,0.460027,-1.216694,0.000248
174,1.450000,-8.222427,-6.021923,-5.602265,1.296065,0.460021,-1.216694,0.000241
175,1.458333,-8.207787,-6.013031,-5.578272,1.296072,0.460041,-1.216704,0.000224
176,1.466667,-8.227503,-6.017525,-5.594296,1.296074,0.460047,-1.216708,0.000238
177,1.475000,-8.218633,-6.019360,-5.600133,1.296066,0.460052,-1.216704,0.000238
178,1.483333,-8.231853,-6.016039,-5.605969,1.296067,0.460057,-1.216712,0.000244
179,1.491667,-8.218188,-6.008460,-5.585862,1.296064,0.460050,-1.216712,0.000232
180,1.500000,-8.213160,-6.012350,-5.606233,1.296042,0.460056,-1.216694,0.000232
181,1.508333,-8.222874,-6.007877,-5.595139,1.296073,0.460042,-1.216704,0.000251
182,1.516667,-8.224773,-6.010172,-5.598799,1.296069,0.460031,-1.216702,0.000233
183,1.525000,-8.231423,-6.014971,-5.586987,1.296069,0.460037,-1.216716,0.000232
184,1.533333,-8.220154,-6.021404,-5.601674,1.296066,0.460022,-1.216710,0.000238
185,1.541667,-8.231782,-6.013075,-5.598595,1.296063,0.460027,-1.216703,0.000246
186,1.550000,-8.231343,-6.018125,-5.605864,1.296067,0.460031,-1.216697,0.000242
